start_tick,end_tick,key,chord
0,1024.0,cMinor,I
1024.0,3072.0,cMinor,I
3072.0,14336.0,cMinor,DimVII
14336.0,15872.0,cMinor,I+
15872.0,16384.0,cMinor,I
16384.0,19456.0,FMajor,I
19456.0,20480.0,FMajor,I
20480.0,21504.0,FMajor,VII
21504.0,22528.0,FMajor,VII
22528.0,23552.0,FMajor,V
23552.0,24576.0,FMajor,VII
24576.0,25600.0,FMajor,I
25600.0,26624.0,FMajor,VII
26624.0,27648.0,FMajor,I
27648.0,28672.0,FMajor,VII
28672.0,31744.0,FMajor,I
31744.0,32768.0,FMajor,VI
32768.0,35840.0,CMajor,VII
35840.0,36864.0,CMajor,VI
36864.0,39936.0,cMinor,GerVI
39936.0,40960.0,cMinor,I
40960.0,41984.0,cMinor,V+
41984.0,43008.0,cMinor,I
43008.0,44032.0,cMinor,V+
44032.0,45056.0,cMinor,I
45056.0,49152.0,cMinor,V+
49152.0,50176.0,cMinor,I
50176.0,51200.0,cMinor,I+
51200.0,52224.0,cMinor,I
52224.0,63488.0,cMinor,DimVII
63488.0,65024.0,cMinor,I+
65024.0,65536.0,cMinor,I
65536.0,66560.0,FMajor,I
66560.0,67584.0,FMajor,I
67584.0,69632.0,FMajor,I
69632.0,70656.0,FMajor,V
70656.0,71680.0,FMajor,I
71680.0,72704.0,FMajor,V
72704.0,74752.0,FMajor,I
74752.0,75776.0,FMajor,VII
75776.0,76800.0,FMajor,I
76800.0,77824.0,FMajor,VII
77824.0,80896.0,FMajor,I
80896.0,81920.0,FMajor,VI
81920.0,84992.0,CMajor,VII
84992.0,86016.0,CMajor,VI
86016.0,89088.0,CMajor,IV
89088.0,90112.0,CMajor,I
90112.0,93184.0,FMajor,VII
93184.0,94208.0,FMajor,I
94208.0,97280.0,FMajor,I
97280.0,106496.0,EbMajor,VI
106496.0,107520.0,EbMajor,V
107520.0,108544.0,EbMajor,II
108544.0,114688.0,EbMajor,V
114688.0,115712.0,ebMinor,I+
115712.0,117760.0,EbMajor,V
117760.0,121856.0,EbMajor,I
121856.0,125952.0,EbMajor,V
125952.0,130048.0,ebMinor,I+
130048.0,131072.0,EbMajor,III
131072.0,132096.0,EbMajor,VI
132096.0,133120.0,EbMajor,I
133120.0,135168.0,BbMajor,VII
135168.0,137216.0,bbMinor,DimVII
137216.0,138240.0,bbMinor,DimVII
138240.0,139264.0,bbMinor,DimVII
139264.0,145408.0,ebMinor,V+
145408.0,147456.0,ebMinor,V
147456.0,247808.0,ebMinor,I
247808.0,251904.0,CMajor,V
251904.0,253952.0,cMinor,I+
253952.0,259072.0,FMajor,II
259072.0,260096.0,BbMajor,V
260096.0,261120.0,BbMajor,VI
261120.0,262144.0,BbMajor,V
262144.0,274432.0,EbMajor,III
274432.0,292864.0,EbMajor,I
292864.0,293888.0,BbMajor,III
293888.0,352256.0,EbMajor,III
352256.0,364544.0,AbMajor,III
364544.0,365568.0,dbMinor,bII
365568.0,368640.0,ebMinor,IV+
368640.0,369664.0,EbMajor,I
369664.0,371712.0,EbMajor,VI
371712.0,397312.0,EbMajor,I
397312.0,405504.0,cMinor,FreVI
405504.0,406528.0,DbMajor,II
406528.0,409600.0,EbMajor,VI
409600.0,410624.0,EbMajor,I
410624.0,411648.0,EbMajor,III
411648.0,465920.0,EbMajor,VI
465920.0,481280.0,abMinor,IV
481280.0,483328.0,fMinor,V+
483328.0,501760.0,EbMajor,FreVI
501760.0,503808.0,EbMajor,VI
503808.0,504832.0,EbMajor,I
504832.0,507904.0,EbMajor,VI
507904.0,508928.0,EbMajor,I
508928.0,526336.0,EbMajor,I
526336.0,528384.0,EbMajor,VI
528384.0,529408.0,EbMajor,I
529408.0,532480.0,EbMajor,VI
532480.0,533504.0,EbMajor,I
533504.0,535552.0,EbMajor,I
535552.0,542720.0,EbMajor,V
542720.0,543744.0,EbMajor,II
543744.0,544768.0,EbMajor,I
544768.0,545792.0,EbMajor,I
545792.0,548864.0,EbMajor,VI
548864.0,549888.0,EbMajor,I
549888.0,550912.0,EbMajor,I
550912.0,551936.0,EbMajor,I
551936.0,565248.0,ebMinor,I+
565248.0,569344.0,EbMajor,I
569344.0,593920.0,cMinor,GerVI
593920.0,599040.0,bbMinor,IV+
599040.0,600064.0,BbMajor,IV
600064.0,610304.0,EbMajor,III
610304.0,624640.0,ebMinor,I+
624640.0,626688.0,ebMinor,I+
626688.0,627712.0,ebMinor,I+
627712.0,630784.0,ebMinor,I+
630784.0,646144.0,ebMinor,I+
646144.0,778240.0,ebMinor,IV+
778240.0,899072.0,EbMajor,VI
899072.0,901120.0,EbMajor,I
901120.0,1218560.0,ebMinor,I+
1218560.0,1220608.0,abMinor,IV+
1220608.0,1239040.0,abMinor,I+
1239040.0,1265664.0,EbMajor,VI
1265664.0,1270784.0,EbMajor,I
1270784.0,1344512.0,EbMajor,VI
1344512.0,1347584.0,FMajor,V
1347584.0,1349120.0,FMajor,V
1349120.0,1352704.0,FMajor,VII
1352704.0,1353728.0,FMajor,V
1353728.0,1354752.0,FMajor,I
1354752.0,1355776.0,FMajor,IV
1355776.0,1357824.0,FMajor,I
1357824.0,1359872.0,fMinor,V+
1359872.0,1360896.0,fMinor,I
1360896.0,1363968.0,cMinor,III
1363968.0,1364992.0,cMinor,I
1364992.0,1366016.0,cMinor,II
1366016.0,1367040.0,gMinor,DimVII
1367040.0,1368064.0,gMinor,DimVII
1368064.0,1369088.0,gMinor,DimVII
1369088.0,1370112.0,gMinor,DimVII
1370112.0,1371136.0,gMinor,I
1371136.0,1372160.0,gMinor,IV
1372160.0,1374208.0,GMajor,I
1374208.0,1384448.0,GMajor,IV
1384448.0,1385472.0,GMajor,VII
1385472.0,1388544.0,cMinor,GerVI
1388544.0,1389568.0,cMinor,I
1389568.0,1396736.0,cMinor,V
1396736.0,1398784.0,gMinor,VII
1398784.0,1404928.0,gMinor,III
1404928.0,1424384.0,BbMajor,II
1424384.0,1427456.0,BbMajor,V
1427456.0,1431552.0,BbMajor,I
1431552.0,1433600.0,BbMajor,VII
1433600.0,1435648.0,BbMajor,I
1435648.0,1439744.0,BbMajor,II
1439744.0,1441792.0,BbMajor,VII
1441792.0,1445888.0,BbMajor,I
1445888.0,1447936.0,gMinor,V+
1447936.0,1449984.0,gMinor,I
1449984.0,1452032.0,GMajor,V
1452032.0,1454080.0,GMajor,bVI
1454080.0,1456128.0,dMinor,I+
1456128.0,1458176.0,GMajor,bVI
1458176.0,1460224.0,GMajor,V
1460224.0,1466368.0,GMajor,I
1466368.0,1468416.0,cMinor,I
1468416.0,1470464.0,cMinor,V+
1470464.0,1474560.0,cMinor,I
1474560.0,1476608.0,fMinor,I+
1476608.0,1478656.0,GMajor,VII
1478656.0,1482752.0,GMajor,I
1482752.0,1486848.0,dMinor,I
1486848.0,1488896.0,dMinor,V+
1488896.0,1501184.0,dMinor,I
1501184.0,1503232.0,dMinor,DimVII
1503232.0,1504256.0,dMinor,DimVII
1504256.0,1515520.0,dMinor,DimVII
1515520.0,1516544.0,dMinor,DimVII
1516544.0,1519616.0,dMinor,DimVII
1519616.0,1520640.0,dMinor,DimVII
1520640.0,1527808.0,dMinor,I
1527808.0,1528832.0,gMinor,IV
1528832.0,1531904.0,gMinor,II
1531904.0,1534976.0,gMinor,I
1534976.0,1540096.0,GMajor,I
1540096.0,1541120.0,cMinor,I
1541120.0,1542144.0,cMinor,I
1542144.0,1543168.0,cMinor,I+
1543168.0,1548288.0,cMinor,I+
1548288.0,1549312.0,cMinor,I+
1549312.0,1553408.0,CMajor,I
1553408.0,1555456.0,FMajor,VII
1555456.0,1556480.0,FMajor,V
1556480.0,1557504.0,FMajor,I
1557504.0,1560576.0,FMajor,I
1560576.0,1561600.0,FMajor,I
1561600.0,1562624.0,FMajor,I
1562624.0,1563648.0,FMajor,I
1563648.0,1564672.0,fMinor,I+
1564672.0,1568768.0,fMinor,DimVII
1568768.0,1572864.0,bbMinor,I+
1572864.0,1573888.0,FMajor,I
1573888.0,1576960.0,FMajor,I
1576960.0,1577984.0,FMajor,I
1577984.0,1579008.0,FMajor,I
1579008.0,1580032.0,FMajor,I
1580032.0,1581056.0,fMinor,I+
1581056.0,1585152.0,fMinor,DimVII
1585152.0,1589248.0,bbMinor,I+
1589248.0,1590272.0,FMajor,I
1590272.0,1593344.0,FMajor,I
1593344.0,1594368.0,FMajor,I
1594368.0,1595392.0,FMajor,I
1595392.0,1596416.0,FMajor,I
1596416.0,1605632.0,DbMajor,III
1605632.0,1606656.0,CMajor,GerVI
1606656.0,1609728.0,CMajor,I
1609728.0,1611776.0,cMinor,GerVI
1611776.0,1612800.0,cMinor,I
1612800.0,1613824.0,cMinor,I
1613824.0,1622016.0,GMajor,I
1622016.0,1623040.0,GMajor,VII
1623040.0,1624064.0,GMajor,V
1624064.0,1625088.0,GMajor,VII
1625088.0,1626112.0,GMajor,V
1626112.0,1627136.0,GMajor,VII
1627136.0,1628160.0,GMajor,V
1628160.0,1629184.0,GMajor,V
1629184.0,1639424.0,GMajor,I
1639424.0,1640448.0,GMajor,V
1640448.0,1641472.0,GMajor,II
1641472.0,1642496.0,GMajor,V
1642496.0,1643520.0,GMajor,I
1643520.0,1644544.0,GMajor,V
1644544.0,1645568.0,GMajor,V
1645568.0,1654784.0,GMajor,I
1654784.0,1656832.0,GMajor,IV
1656832.0,1660928.0,CMajor,V
1660928.0,1661952.0,CMajor,I
1661952.0,1665024.0,CMajor,I
1665024.0,1671168.0,GMajor,VI
1671168.0,1687552.0,CMajor,V
1687552.0,1688576.0,cMinor,I
1688576.0,1690624.0,cMinor,I
1690624.0,1701888.0,cMinor,DimVII
1701888.0,1703424.0,cMinor,I+
1703424.0,1703936.0,cMinor,I
1703936.0,1704960.0,FMajor,I
1704960.0,1719296.0,bbMinor,V
1719296.0,1720320.0,FMajor,VI
1720320.0,1723392.0,CMajor,VII
1723392.0,1727488.0,CMajor,VI
1727488.0,1728512.0,cMinor,I+
1728512.0,1731584.0,FMajor,VII
